4	header
postResults v2.0.1	Myself_tensionX.spectralOut --increments --range 0 400 100 --separation x,y,z --split --cr texture,f,p,orientation,grainrotation
addStrainTensors v2.0.1	Myself_tensionX_inc200.txt --left --logarithmic
addCauchy v2.0.1	Myself_tensionX_inc200.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_orientation	2_orientation	3_orientation	4_orientation	1_grainrotation	2_grainrotation	3_grainrotation	4_grainrotation	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy
200	11	11	1	1	10.5	0.5	0.5	18.0	1.00028310788	-0.000887504970307	0.0	0.000359626293541	0.999556537666	0.0	-0.000134287983242	0.000900590456605	0.999746444057	-209541355.235	-11104849.6867	-18538820.0959	-11198974.2927	-30268140.9107	12373820.8572	-18499777.1178	12357060.9876	73219503.141	0.6480685847	-0.0933511822277	0.446649151956	0.609751753879	0.427244423399	0.241170859264	0.871449777855	0.0239082038094	0.00028338735872024265	-0.0002637034968557478	-6.744186972838537e-05	-0.0002637034968557478	-0.0004437684100042119	0.0004503673908260362	-6.744186972838533e-05	0.0004503673908260362	-0.00025338070113205513	-209677561.04386452	-11179906.54592899	-18523644.293668084	-11179906.545933038	-30271268.07798522	12350037.00615702	-18523644.29365521	12350037.006161038	73244850.49863943
200	12	12	1	1	11.5	0.5	0.5	17.0	0.999223252814	-0.00106974396857	0.0	-0.000307090128422	1.00059000308	0.0	0.000377888665627	-0.00152653148404	0.999746444057	-206929592.301	39719807.4149	-40344624.5681	39902899.5071	60871372.5123	-26378608.1989	-40532999.8243	-26446606.664	-30404025.1167	0.0280450241291	0.589183755407	0.806346289095	-0.0433778866435	-0.721310768538	0.0899020296591	0.686752837955	0.117891156955	-0.0007769865170321685	-0.0006885977482165245	0.00018928326434628683	-0.0006885977482165245	0.0005888198936176901	-0.0007633867194057986	0.00018928326434628683	-0.0007633867194057987	-0.00025296995349092974	-206902602.52390873	39824352.36279538	-40491082.99135779	39824352.36270054	60921901.97545345	-26461433.491042208	-40491082.99129127	-26461433.491117712	-30384662.208801165
200	13	13	1	1	12.5	0.5	0.5	17.0	0.998225628371	0.000233940621917	0.0	-0.00113472182074	1.00119402131	0.0	-0.000124536588599	-0.000531999128083	0.999746444057	-247326318.637	55799533.7322	-14349513.18	56244112.303	10651374.6672	-28581738.4746	-14363561.6681	-28569348.6127	-100193214.153	0.0284218379662	0.589934525694	0.80581254128	-0.042843935832	-0.46719385625	0.225161736638	-0.855029280677	0.0327832924104	-0.0017761265960166603	-0.0004495218369496155	-6.246617214730876e-05	-0.0004495218369496155	0.0011936789341384399	-0.0002660242138573962	-6.246617214730876e-05	-0.00026602421385739616	-0.0002535134771407563	-247080879.76031554	56193762.307207	-14356755.577622954	56193762.30708709	10609136.333744563	-28611070.12526319	-14356755.577636695	-28611070.125311956	-100234579.10974324
200	14	14	1	1	13.5	0.5	0.5	17.0	0.999623434136	0.00132388647874	0.0	-0.000415456605317	0.999451664273	0.0	0.00221046080528	-0.000868920344134	0.999746444057	-299970912.416	19955722.0213	2086367.15404	20111731.2339	-26251011.8214	-10164438.2743	1419329.38528	-10099543.0592	-147467283.366	0.0281675794275	0.589994875765	0.805794535626	-0.0425182360299	-0.052232817239	-0.741075878574	-0.669386683271	0.0517463900377	-0.0003771877569182297	0.0004548316142837803	0.0011051310902266264	0.0004548316142837803	-0.0005487960500603931	-0.00043553160502408337	0.0011051310902266266	-0.0004355316050240835	-0.0002521766612065852	-300184992.33483595	20093063.39616713	1407081.0568851961	20093063.396090984	-26275912.016998872	-10106494.849960504	1407081.0568884292	-10106494.849919239	-147591763.47760713
200	15	15	1	1	14.5	0.5	0.5	7.0	1.00045184078	0.000417854914121	0.0	-0.00017094730772	0.999181930252	0.0	0.000648861760401	-0.000422287260103	0.999746444057	-289039273.742	-15081821.0268	12706922.6477	-14999910.1605	-32032237.9339	-36578962.892	12532151.3761	-36593687.9922	71115741.4842	0.458636201234	0.701316317309	-0.541580308028	0.0670747936969	-0.422749959129	-0.792201087883	0.439985048642	0.0844786869403	0.0004517055412524526	0.0001233579770677134	0.0003244509007656852	0.0001233579770677134	-0.0008184497944576314	-0.0002112926937797144	0.00032445090076568513	-0.0002112926937797144	-0.00025343820214014906	-289355573.10034496	-15029390.63423571	12530291.718681587	-15029390.634271871	-32023323.280855328	-36588578.7002564	12530291.718642121	-36588578.700189404	71165416.20669167
200	16	16	1	1	15.5	0.5	0.5	7.0	0.999395560974	0.000366088990953	0.0	0.000781950767557	1.00050959258	0.0	-0.000993424777502	-0.00199565250753	0.999746444057	-271075107.152	16997718.7419	22694258.6509	16798173.7468	17462939.9836	-3875711.92272	22939184.1071	-3942195.29407	113249232.369	0.458679627365	0.701118882088	-0.541866485283	0.0665283755007	0.394103285038	-0.336692654821	0.854494883831	0.036228327894	-0.0006051308332660854	0.0005734359462570813	-0.0004966303250463679	0.0005734359462570813	0.0005084433700607899	-0.0009981816165127535	-0.000496630325046368	-0.0009981816165127535	-0.00025234591250196706	-270999607.5031321	16800276.099002514	22931878.1689075	16800276.09895738	17491078.217875462	-3927637.5322860572	22931878.168884885	-3927637.5322945407	113245115.67895593
200	17	18	1	1	0.5	1.5	0.5	7.0	1.0005452021	0.000638605916224	0.0	-0.000177428248535	0.999288022261	0.0	0.0011565917775	-0.000201465986775	0.999746444057	-289259793.474	23937447.6619	42447149.5089	23944101.0994	22818637.5351	-7010012.89604	42078526.5588	-6982644.66278	97486070.4139	0.458779284611	0.701250613156	-0.541530921094	0.0671818953183	-0.285329459072	-0.898294783504	0.33381487163	0.0974210964304	0.000544869821613134	0.00023040997681886196	0.0005784011953584317	0.00023040997681886199	-0.0007122788710332411	-0.00010099454695449725	0.0005784011953584317	-0.00010099454695449723	-0.00025324350284284	-289523975.3124722	23981813.480135895	42114720.64084913	23981813.48010404	22807734.92751333	-6988078.029166225	42114720.64083019	-6988078.029168864	97552453.74358447
200	18	19	1	1	1.5	1.5	0.5	7.0	0.999454266573	-0.00170534561305	0.0	0.000674771842572	1.00036272569	0.0	0.000116860006072	0.000782814829268	0.999746444057	-269080724.354	12696265.2115	8599826.31956	12514304.449	-6935486.86797	-5968555.04456	8570628.31072	-5974624.53107	100537650.841	0.458655710674	0.7012593545	-0.54168175267	0.0667168315794	-0.14323155916	-0.606650267171	0.781755576098	0.0568446106679	-0.0005446963626262169	-0.000515896777085531	5.797882392271254e-05	-0.000515896777085531	0.000362468172733397	0.0003915758838673814	5.7978823922712594e-05	0.0003915758838673814	-0.0002534314472006283	-269072728.12422276	12524757.719866564	8579876.924047785	12524757.719831426	-6932577.833497424	-5973610.356340575	8579876.92405199	-5973610.356326995	100552280.4901638
200	19	20	1	1	2.5	1.5	0.5	15.0	0.99869808779	-0.0011976094698	0.0	0.000207875489678	1.00000569421	0.0	0.000163774110937	-0.000313869495662	0.999746444057	-320208185.37	12078402.438	7203377.83495	11853402.1526	-145237427.121	3902526.62441	7159367.01723	3947553.25885	-160094236.715	-0.077134440578	0.595796723685	0.799202516118	-0.0187584742032	-0.211911113322	0.182743781889	0.960047678111	0.0248961583287	-0.0013022940378403865	-0.000495634975123641	8.201817776125775e-05	-0.000495634975123641	5.445732534496266e-06	-0.0001569169073192413	8.201817776125775e-05	-0.0001569169073192413	-0.00025355675189766115	-320301980.678535	12030545.548509162	7156405.252948383	12030545.548579004	-145461139.0510285	3955191.391526667	7156405.252942498	3955191.3915058672	-160302050.91387457
200	20	21	1	1	3.5	1.5	0.5	15.0	0.998690951313	0.000614651325235	0.0	-0.00177321913338	1.00030673857	0.0	-0.00116061804588	0.00157173857573	0.999746444057	-300941427.405	-8052173.3794	1991416.58442	-7480931.66301	-81134511.8147	-3208471.57123	2332628.78115	-3321342.73605	-123095493.457	-0.0767618786084	0.596049215376	0.799058548401	-0.0183951914528	0.970510560024	0.211098576991	-0.116386086787	0.0570374408637	-0.0013103878949129782	-0.0005781523535986008	-0.00057951633074997	-0.0005781523535986008	0.00030730970970597034	0.0007867608553788045	-0.00057951633074997	0.0007867608553788045	-0.00025263360803471876	-300930073.99066585	-7530458.345224513	2330458.3362281066	-7530458.34522616	-81248093.72745803	-3330677.528173342	2330458.3362303227	-3330677.528181227	-123226849.73294847
200	21	22	1	1	4.5	1.5	0.5	20.0	1.0014716089	-0.000426752279551	0.0	0.00246408240914	0.998333921607	0.0	-0.00121916029882	0.00197943657174	0.999746444057	-265429147.823	-67542047.7758	-4972308.11681	-67927341.4607	131816008.589	36080073.2195	-4758568.1418	36487176.6493	-46461489.7707	0.425456304618	0.511663244589	0.209791546448	0.716362452978	0.728959002457	0.0164407375272	-0.684360308658	0.0627346471167	0.001469204102981116	0.001021636148008949	-0.000611164262822739	0.0010216361480089493	-0.0016664461731033162	0.000989085497400687	-0.000611164262822739	0.000989085497400687	-0.0002522349646118877	-265910425.76921666	-68114165.59707327	-4783291.375371586	-68114165.59676126	131488101.81989953	36431031.88122659	-4783291.375351017	36431031.881272286	-46392531.36643323
200	22	23	1	1	5.5	1.5	0.5	20.0	1.00014272424	-0.00114807104646	0.0	0.000519493373207	0.999878939577	0.0	0.00100132527872	0.00149168043913	0.999746444057	-212634951.392	-36887651.2648	-2425141.5739	-36835012.3045	133596718.776	32707080.0034	-2654356.03559	32866544.4702	-13556271.9808	0.426451463937	0.511611690587	0.210300761024	0.715657890946	0.396831900241	0.309133565498	0.864270329729	0.12055260337	0.00014302403289056194	-0.00031454862574522316	0.000500167154511827	-0.00031454862574522316	-0.00012158871682840592	0.0007464462628497	0.000500167154511827	0.0007464462628497	-0.0002527807031321007	-212672144.93839467	-37002207.37816764	-2693090.966756316	-37002207.378238246	133592312.34642816	32868789.875458572	-2693090.96675093	32868789.875457227	-13509591.2199
200	23	24	1	1	6.5	1.5	0.5	9.0	1.00164229189	0.00040114395146	0.0	-0.000818204057505	0.998785321607	0.0	0.000593959904327	0.00161962671026	0.999746444057	-204253614.163	1981083.311	20234481.5324	2066855.00719	188333093.615	15358929.783	20071980.3979	15696781.8905	87797169.8019	-0.401433079509	-0.309161571406	0.819679281799	0.26720119841	0.718388382873	0.208133280907	-0.663758996953	0.197225960877	0.0016408927942140935	-0.00020959702589672035	0.0002975486572392034	-0.00020959702589672035	-0.0012157813733605933	0.000809836998383785	0.0002975486572392034	0.000809836998383785	-0.0002528433460716953	-204553022.5267126	2145428.4471114525	20107776.891280558	2145428.4471053523	188070237.07790717	15658594.664607996	20107776.891244054	15658594.664579773	87797127.2415874
