 Lammps data file for nanotube
 
        9216 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -26.75140       60.75663     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
  241    1  -8.403  -9.850  -0.299
  242    1  -7.008  -9.822  -0.286
  243    1  -6.388  -8.599   0.000
  244    1  -4.986  -8.599   0.000
  245    1  -8.387  -7.432  -0.330
  246    1  -7.026  -7.396  -0.127
  247    1  -6.388  -6.170   0.000
  248    1  -4.986  -6.170   0.000
  249    1  -8.492  -4.956   0.000
  250    1  -7.090  -4.956   0.000
  251    1  -6.388  -3.742   0.000
  252    1  -4.986  -3.742   0.000
  253    1  -8.492  -2.526   0.000
  254    1  -7.090  -2.526   0.000
  255    1  -6.388  -1.312   0.000
  256    1  -4.986  -1.312   0.000
  257    1  -8.492  -0.098   0.000
  258    1  -7.090  -0.098   0.000
  259    1  -6.388   1.117   0.000
  260    1  -4.986   1.117   0.000
  261    1  -4.284 -26.816   0.000
  262    1  -2.882 -26.816   0.000
  263    1  -2.180 -25.602   0.000
  264    1  -0.778 -25.602   0.000
  265    1  -4.284 -24.388   0.000
  266    1  -2.882 -24.388   0.000
  267    1  -2.180 -23.172   0.000
  268    1  -0.778 -23.172   0.000
  269    1  -4.284 -21.958   0.000
  270    1  -2.882 -21.958   0.000
  271    1  -2.180 -20.744   0.000
  272    1  -0.778 -20.744   0.000
  273    1  -4.284 -19.529   0.000
  274    1  -2.882 -19.529   0.000
  275    1  -2.180 -18.315   0.000
  276    1  -0.778 -18.315   0.000
  277    1  -4.284 -17.101   0.000
  278    1  -2.882 -17.101   0.000
  279    1  -2.180 -15.886   0.000
  280    1  -0.778 -15.886   0.000
  281    1  -4.284 -14.671   0.000
  282    1  -2.882 -14.671   0.000
  283    1  -2.180 -13.457   0.000
  284    1  -0.778 -13.457   0.000
  285    1  -4.284 -12.243   0.000
  286    1  -2.882 -12.243   0.000
  287    1  -2.180 -11.028   0.000
  288    1  -0.778 -11.028   0.000
  289    1  -4.284  -9.813   0.000
  290    1  -2.882  -9.813   0.000
  291    1  -2.180  -8.599   0.000
  292    1  -0.778  -8.599   0.000
  293    1  -4.284  -7.385   0.000
  294    1  -2.882  -7.385   0.000
  295    1  -2.180  -6.170   0.000
  296    1  -0.778  -6.170   0.000
  297    1  -4.284  -4.956   0.000
  298    1  -2.882  -4.956   0.000
  299    1  -2.180  -3.742   0.000
  300    1  -0.778  -3.742   0.000
  301    1  -4.284  -2.526   0.000
  302    1  -2.882  -2.526   0.000
  303    1  -2.180  -1.312   0.000
  304    1  -0.778  -1.312   0.000
  305    1  -4.284  -0.098   0.000
  306    1  -2.882  -0.098   0.000
  307    1  -2.180   1.117   0.000
  308    1  -0.778   1.117   0.000
  309    1 -33.738 -26.816  21.543
  310    1 -32.336 -26.816  21.543
  311    1 -31.635 -25.602  21.543
  312    1 -30.232 -25.602  21.543
  313    1 -33.738 -24.388  21.543
  314    1 -32.336 -24.388  21.543
  315    1 -31.635 -23.172  21.543
  316    1 -30.232 -23.172  21.543
  317    1 -33.738 -21.958  21.543
  318    1 -32.336 -21.958  21.543
  319    1 -31.635 -20.744  21.543
  320    1 -30.232 -20.744  21.543
  321    1 -33.738 -19.529  21.543
  322    1 -32.336 -19.529  21.543
  323    1 -31.635 -18.315  21.543
  324    1 -30.232 -18.315  21.543
  325    1 -33.738 -17.101  21.543
  326    1 -32.336 -17.101  21.543
  327    1 -31.635 -15.886  21.543
  328    1 -30.232 -15.886  21.543
  329    1 -33.738 -14.671  21.543
  330    1 -32.336 -14.671  21.543
  331    1 -31.635 -13.457  21.543
  332    1 -30.232 -13.457  21.543
  333    1 -33.738 -12.243  21.543
  334    1 -32.336 -12.243  21.543
  335    1 -31.635 -11.028  21.543
  336    1 -30.232 -11.028  21.543
  337    1 -33.738  -9.813  21.543
  338    1 -32.336  -9.813  21.543
  339    1 -31.635  -8.599  21.543
  340    1 -30.232  -8.599  21.543
  341    1 -33.738  -7.385  21.543
  342    1 -32.336  -7.385  21.543
  343    1 -31.635  -6.170  21.543
  344    1 -30.232  -6.170  21.543
  345    1 -33.738  -4.956  21.543
  346    1 -32.336  -4.956  21.543
  347    1 -31.635  -3.742  21.543
  348    1 -30.232  -3.742  21.543
  349    1 -33.738  -2.526  21.543
  350    1 -32.336  -2.526  21.543
  351    1 -31.635  -1.312  21.543
  352    1 -30.232  -1.312  21.543
  353    1 -33.738  -0.098  21.543
  354    1 -32.336  -0.098  21.543
  355    1 -31.635   1.117  21.543
  356    1 -30.232   1.117  21.543
  357    1 -29.531 -26.816  21.543
  358    1 -28.129 -26.816  21.543
  359    1 -27.427 -25.602  21.543
  360    1 -26.024 -25.602  21.543
  361    1 -29.531 -24.388  21.543
  362    1 -28.129 -24.388  21.543
  363    1 -27.427 -23.172  21.543
  364    1 -26.024 -23.172  21.543
  365    1 -29.531 -21.958  21.543
  366    1 -28.129 -21.958  21.543
  367    1 -27.427 -20.744  21.543
  368    1 -26.024 -20.744  21.543
  369    1 -29.531 -19.529  21.543
  370    1 -28.129 -19.529  21.543
  371    1 -27.427 -18.315  21.543
  372    1 -26.058 -18.378  21.696
  373    1 -29.531 -17.101  21.543
  374    1 -28.129 -17.101  21.543
  375    1 -27.427 -15.886  21.543
  376    1 -26.049 -15.994  21.786
  377    1 -29.531 -14.671  21.543
  378    1 -28.129 -14.671  21.543
  379    1 -27.383 -13.466  21.522
  380    1 -25.992 -13.703  21.223
  381    1 -29.531 -12.243  21.543
  382    1 -28.129 -12.243  21.543
  383    1 -27.381 -11.019  21.536
  384    1 -25.986 -10.781  21.236
  385    1 -29.531  -9.813  21.543
  386    1 -28.129  -9.813  21.543
  387    1 -27.427  -8.599  21.543
  388    1 -26.052  -8.484  21.826
  389    1 -29.531  -7.385  21.543
  390    1 -28.129  -7.385  21.543
  391    1 -27.427  -6.170  21.543
  392    1 -26.058  -6.117  21.691
  393    1 -29.531  -4.956  21.543
  394    1 -28.129  -4.956  21.543
  395    1 -27.427  -3.742  21.543
  396    1 -26.024  -3.742  21.543
  397    1 -29.531  -2.526  21.543
  398    1 -28.129  -2.526  21.543
  399    1 -27.427  -1.312  21.543
  400    1 -26.024  -1.312  21.543
  401    1 -29.531  -0.098  21.543
  402    1 -28.129  -0.098  21.543
  403    1 -27.427   1.117  21.543
  404    1 -26.024   1.117  21.543
  405    1 -25.323 -26.816  21.543
  406    1 -23.921 -26.816  21.543
  407    1 -23.220 -25.602  21.543
  408    1 -21.816 -25.602  21.543
  409    1 -25.323 -24.388  21.543
  410    1 -23.921 -24.388  21.543
  411    1 -23.220 -23.172  21.543
  412    1 -21.816 -23.172  21.543
  413    1 -25.323 -21.958  21.543
  414    1 -23.921 -21.958  21.543
  415    1 -23.270 -20.807  21.931
  416    1 -21.886 -20.864  22.176
  417    1 -25.323 -19.529  21.543
  418    1 -23.966 -19.602  21.851
  419    1 -23.245 -18.410  21.857
  420    1 -21.871 -18.536  21.647
  421    1 -25.366 -17.199  21.868
  422    1 -23.967 -17.263  21.580
  423    1 -25.303 -14.934  21.319
  424    1 -25.282  -9.543  21.374
  425    1 -25.348  -7.263  21.906
  426    1 -23.964  -7.188  21.560
  427    1 -23.241  -6.061  21.881
  428    1 -21.863  -5.963  21.701
  429    1 -25.323  -4.956  21.543
  430    1 -23.958  -4.876  21.865
  431    1 -23.247  -3.671  21.938
  432    1 -21.878  -3.616  22.205
  433    1 -25.323  -2.526  21.543
  434    1 -23.921  -2.526  21.543
  435    1 -23.220  -1.312  21.543
  436    1 -21.816  -1.312  21.543
  437    1 -25.323  -0.098  21.543
  438    1 -23.921  -0.098  21.543
  439    1 -23.220   1.117  21.543
  440    1 -21.816   1.117  21.543
  441    1 -21.115 -26.816  21.543
  442    1 -19.713 -26.816  21.543
  443    1 -19.012 -25.602  21.543
  444    1 -17.609 -25.602  21.543
  445    1 -21.115 -24.388  21.543
  446    1 -19.713 -24.388  21.543
  447    1 -19.012 -23.172  21.543
  448    1 -17.642 -23.224  21.685
  449    1 -21.155 -22.012  21.888
  450    1 -19.774 -22.036  21.838
  451    1 -19.100 -20.812  21.879
  452    1 -17.747 -20.887  21.560
  453    1 -21.180 -19.644  22.241
  454    1 -19.858 -19.678  21.676
  455    1 -21.181  -4.846  22.286
  456    1 -19.865  -4.826  21.679
  457    1 -19.092  -3.672  21.836
  458    1 -17.758  -3.606  21.505
  459    1 -21.149  -2.463  21.944
  460    1 -19.767  -2.461  21.790
  461    1 -19.012  -1.312  21.543
  462    1 -17.637  -1.257  21.688
  463    1 -21.115  -0.098  21.543
  464    1 -19.713  -0.098  21.543
  465    1 -19.012   1.117  21.543
  466    1 -17.609   1.117  21.543
  467    1 -16.908 -26.816  21.543
  468    1 -15.505 -26.816  21.543
  469    1 -14.804 -25.602  21.543
  470    1 -13.401 -25.602  21.543
  471    1 -16.908 -24.388  21.543
  472    1 -15.505 -24.388  21.543
  473    1 -14.804 -23.172  21.543
  474    1 -13.401 -23.172  21.543
  475    1 -16.979 -22.037  21.867
  476    1 -15.584 -22.034  21.788
  477    1 -15.040 -20.838  21.320
  478    1 -13.627 -20.853  21.203
  479    1 -15.030  -3.630  21.299
  480    1 -13.622  -3.634  21.209
  481    1 -16.982  -2.465  21.844
  482    1 -15.574  -2.452  21.761
  483    1 -14.804  -1.312  21.543
  484    1 -13.401  -1.312  21.543
  485    1 -16.908  -0.098  21.543
  486    1 -15.505  -0.098  21.543
  487    1 -14.804   1.117  21.543
  488    1 -13.401   1.117  21.543
  489    1 -12.700 -26.816  21.543
  490    1 -11.298 -26.816  21.543
  491    1 -10.596 -25.602  21.543
  492    1  -9.193 -25.602  21.543
  493    1 -12.700 -24.388  21.543
  494    1 -11.298 -24.388  21.543
  495    1 -10.596 -23.172  21.543
  496    1  -9.193 -23.172  21.543
  497    1 -12.739 -21.932  21.532
  498    1 -11.298 -21.958  21.543
  499    1 -10.594 -20.682  21.534
  500    1  -9.193 -20.744  21.543
  501    1 -11.093 -19.373  21.232
  502    1 -10.406 -18.135  21.343
  503    1  -9.103 -18.271  21.787
  504    1  -9.022 -15.850  21.585
  505    1  -8.998 -13.426  21.668
  506    1  -8.998 -11.100  21.679
  507    1  -9.007  -8.664  21.555
  508    1 -10.392  -6.338  21.347
  509    1  -9.085  -6.197  21.771
  510    1 -11.095  -5.120  21.226
  511    1 -10.587  -3.807  21.511
  512    1  -9.193  -3.742  21.543
  513    1 -12.750  -2.537  21.521
  514    1 -11.298  -2.526  21.543
  515    1 -10.596  -1.312  21.543
  516    1  -9.193  -1.312  21.543
  517    1 -12.700  -0.098  21.543
  518    1 -11.298  -0.098  21.543
  519    1 -10.596   1.117  21.543
  520    1  -9.193   1.117  21.543
  521    1  -8.492 -26.816  21.543
  522    1  -7.090 -26.816  21.543
  523    1  -6.388 -25.602  21.543
  524    1  -4.986 -25.602  21.543
  525    1  -8.492 -24.388  21.543
  526    1  -7.090 -24.388  21.543
  527    1  -6.388 -23.172  21.543
  528    1  -4.986 -23.172  21.543
  529    1  -8.492 -21.958  21.543
  530    1  -7.090 -21.958  21.543
  531    1  -6.388 -20.744  21.543
  532    1  -4.986 -20.744  21.543
  533    1  -8.492 -19.529  21.543
  534    1  -7.090 -19.529  21.543
  535    1  -6.388 -18.315  21.543
  536    1  -4.986 -18.315  21.543
  537    1  -8.391 -17.075  21.886
  538    1  -7.036 -17.105  21.720
  539    1  -6.388 -15.886  21.543
  540    1  -4.986 -15.886  21.543
  541    1  -8.398 -14.654  21.865
  542    1  -7.032 -14.669  21.820
  543    1  -6.330 -13.480  21.928
  544    1  -4.986 -13.457  21.543
  545    1  -8.376 -12.265  22.286
  546    1  -6.964 -12.254  22.217
  547    1  -6.324 -11.035  21.906
  548    1  -4.986 -11.028  21.543
  549    1  -8.382  -9.853  21.859
  550    1  -7.010  -9.829  21.869
  551    1  -6.388  -8.599  21.543
  552    1  -4.986  -8.599  21.543
  553    1  -8.401  -7.416  21.851
  554    1  -7.025  -7.385  21.698
  555    1  -6.388  -6.170  21.543
  556    1  -4.986  -6.170  21.543
  557    1  -8.492  -4.956  21.543
  558    1  -7.090  -4.956  21.543
  559    1  -6.388  -3.742  21.543
  560    1  -4.986  -3.742  21.543
  561    1  -8.492  -2.526  21.543
  562    1  -7.090  -2.526  21.543
  563    1  -6.388  -1.312  21.543
  564    1  -4.986  -1.312  21.543
  565    1  -8.492  -0.098  21.543
  566    1  -7.090  -0.098  21.543
  567    1  -6.388   1.117  21.543
  568    1  -4.986   1.117  21.543
  569    1  -4.284 -26.816  21.543
