 Lammps data file for nanotube
 
        2745 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -29.16934       58.33868     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
  304    1  -2.328  -1.439   0.000
  305    1  -0.932  -1.439   0.000
  306    1 -33.738  -0.076   0.000
  307    1 -32.342  -0.076   0.000
  308    1 -31.644   1.133   0.000
  309    1 -30.248   1.133   0.000
  310    1 -33.738   2.342   0.000
  311    1 -32.342   2.342   0.000
  312    1 -31.644   3.551   0.000
  313    1 -30.248   3.551   0.000
  314    1 -33.738   4.760   0.000
  315    1 -32.342   4.760   0.000
  316    1 -31.644   5.969   0.000
  317    1 -30.248   5.969   0.000
  318    1 -33.738   7.178   0.000
  319    1 -32.342   7.178   0.000
  320    1 -31.644   8.387   0.000
  321    1 -30.248   8.387   0.000
  322    1 -33.738   9.596   0.000
  323    1 -32.342   9.596   0.000
  324    1 -31.644  10.805   0.000
  325    1 -30.248  10.805   0.000
  326    1 -33.738  12.013   0.000
  327    1 -32.342  12.013   0.000
  328    1 -31.644  13.222   0.000
  329    1 -30.248  13.222   0.000
  330    1 -33.738  14.431   0.000
  331    1 -32.342  14.431   0.000
  332    1 -31.644  15.640   0.000
  333    1 -30.248  15.640   0.000
  334    1 -33.738  16.849   0.000
  335    1 -32.342  16.849   0.000
  336    1 -31.644  18.058   0.000
  337    1 -30.248  18.058   0.000
  338    1 -33.738  19.267   0.000
  339    1 -32.342  19.267   0.000
  340    1 -31.644  20.476   0.000
  341    1 -30.248  20.476   0.000
  342    1 -33.738  21.685   0.000
  343    1 -32.342  21.685   0.000
  344    1 -31.644  22.894   0.000
  345    1 -30.248  22.894   0.000
  346    1 -33.738  24.103   0.000
  347    1 -32.342  24.103   0.000
  348    1 -31.644  25.312   0.000
  349    1 -30.248  25.312   0.000
  350    1 -33.738  26.521   0.000
  351    1 -32.342  26.521   0.000
  352    1 -31.644  27.730   0.000
  353    1 -30.248  27.730   0.000
  354    1 -29.550  -0.076   0.000
  355    1 -28.154  -0.076   0.000
  356    1 -27.456   1.133   0.000
  357    1 -26.060   1.133   0.000
  358    1 -29.550   2.342   0.000
  359    1 -28.154   2.342   0.000
  360    1 -27.456   3.551   0.000
  361    1 -26.060   3.551   0.000
  362    1 -29.550   4.760   0.000
  363    1 -28.154   4.760   0.000
  364    1 -27.456   5.969   0.000
  365    1 -26.060   5.969   0.000
  366    1 -29.550   7.178   0.000
  367    1 -28.154   7.178   0.000
  368    1 -27.456   8.387   0.000
  369    1 -26.060   8.387   0.000
  370    1 -29.550   9.596   0.000
  371    1 -28.154   9.596   0.000
  372    1 -27.456  10.805   0.000
  373    1 -26.060  10.805   0.000
  374    1 -29.550  12.013   0.000
  375    1 -28.154  12.013   0.000
  376    1 -27.456  13.222   0.000
  377    1 -26.060  13.222   0.000
  378    1 -29.550  14.431   0.000
  379    1 -28.154  14.431   0.000
  380    1 -27.456  15.640   0.000
  381    1 -26.060  15.640   0.000
  382    1 -29.550  16.849   0.000
  383    1 -28.154  16.849   0.000
  384    1 -27.456  18.058   0.000
  385    1 -26.060  18.058   0.000
  386    1 -29.550  19.267   0.000
  387    1 -28.154  19.267   0.000
  388    1 -27.456  20.476   0.000
  389    1 -26.060  20.476   0.000
  390    1 -29.550  21.685   0.000
  391    1 -28.154  21.685   0.000
  392    1 -27.456  22.894   0.000
  393    1 -26.060  22.894   0.000
  394    1 -29.550  24.103   0.000
  395    1 -28.154  24.103   0.000
  396    1 -27.456  25.312   0.000
  397    1 -26.060  25.312   0.000
  398    1 -29.550  26.521   0.000
  399    1 -28.154  26.521   0.000
  400    1 -27.456  27.730   0.000
  401    1 -26.060  27.730   0.000
  402    1 -25.362  -0.076   0.000
  403    1 -23.966  -0.076   0.000
  404    1 -23.268   1.133   0.000
  405    1 -21.872   1.133   0.000
  406    1 -25.362   2.342   0.000
  407    1 -23.966   2.342   0.000
  408    1 -23.268   3.551   0.000
  409    1 -21.872   3.551   0.000
  410    1 -25.362   4.760   0.000
  411    1 -23.966   4.760   0.000
  412    1 -23.268   5.969   0.000
  413    1 -21.872   5.969   0.000
  414    1 -25.362   7.178   0.000
  415    1 -23.966   7.178   0.000
  416    1 -23.268   8.387   0.000
  417    1 -25.362   9.596   0.000
  418    1 -23.966   9.596   0.000
  419    1 -25.362  12.013   0.000
  420    1 -25.362  14.431   0.000
  421    1 -25.362  16.849   0.000
  422    1 -25.362  19.267   0.000
  423    1 -23.966  19.267   0.000
  424    1 -23.268  20.476   0.000
  425    1 -25.362  21.685   0.000
  426    1 -23.966  21.685   0.000
  427    1 -23.268  22.894   0.000
  428    1 -21.872  22.894   0.000
  429    1 -25.362  24.103   0.000
  430    1 -23.966  24.103   0.000
  431    1 -23.268  25.312   0.000
  432    1 -21.872  25.312   0.000
  433    1 -25.362  26.521   0.000
  434    1 -23.966  26.521   0.000
  435    1 -23.268  27.730   0.000
  436    1 -21.872  27.730   0.000
  437    1 -21.174  -0.076   0.000
  438    1 -19.778  -0.076   0.000
  439    1 -19.080   1.133   0.000
  440    1 -17.684   1.133   0.000
  441    1 -21.174   2.342   0.000
  442    1 -19.778   2.342   0.000
  443    1 -19.080   3.551   0.000
  444    1 -17.684   3.551   0.000
  445    1 -21.174   4.760   0.000
  446    1 -19.778   4.760   0.000
  447    1 -19.080   5.969   0.000
  448    1 -17.684   5.969   0.000
  449    1 -21.174   7.178   0.000
  450    1 -21.174  21.685   0.000
  451    1 -19.080  22.894   0.000
  452    1 -17.684  22.894   0.000
  453    1 -21.174  24.103   0.000
  454    1 -19.778  24.103   0.000
  455    1 -19.080  25.312   0.000
  456    1 -17.684  25.312   0.000
  457    1 -21.174  26.521   0.000
  458    1 -19.778  26.521   0.000
  459    1 -19.080  27.730   0.000
  460    1 -17.684  27.730   0.000
  461    1 -16.986  -0.076   0.000
  462    1 -15.590  -0.076   0.000
  463    1 -14.892   1.133   0.000
  464    1 -13.496   1.133   0.000
  465    1 -16.986   2.342   0.000
  466    1 -15.590   2.342   0.000
  467    1 -14.892   3.551   0.000
  468    1 -13.496   3.551   0.000
  469    1 -16.986   4.760   0.000
  470    1 -15.590   4.760   0.000
  471    1 -14.892   5.969   0.000
  472    1 -13.496   5.969   0.000
  473    1 -14.892  22.894   0.000
  474    1 -13.496  22.894   0.000
  475    1 -16.986  24.103   0.000
  476    1 -15.590  24.103   0.000
  477    1 -14.892  25.312   0.000
  478    1 -13.496  25.312   0.000
  479    1 -16.986  26.521   0.000
  480    1 -15.590  26.521   0.000
  481    1 -14.892  27.730   0.000
  482    1 -13.496  27.730   0.000
  483    1 -12.798  -0.076   0.000
  484    1 -11.402  -0.076   0.000
  485    1 -10.704   1.133   0.000
  486    1  -9.308   1.133   0.000
  487    1 -12.798   2.342   0.000
  488    1 -11.402   2.342   0.000
  489    1 -10.704   3.551   0.000
  490    1  -9.308   3.551   0.000
  491    1 -12.798   4.760   0.000
  492    1 -11.402   4.760   0.000
  493    1 -10.704   5.969   0.000
  494    1  -9.308   5.969   0.000
  495    1 -12.798   7.178   0.000
  496    1 -11.402   7.178   0.000
  497    1 -10.704   8.387   0.000
  498    1  -9.308   8.387   0.000
  499    1  -9.308  10.805   0.000
  500    1  -9.308  18.058   0.000
  501    1 -10.704  20.476   0.000
  502    1  -9.308  20.476   0.000
  503    1 -12.798  21.685   0.000
  504    1 -11.402  21.685   0.000
  505    1 -10.704  22.894   0.000
  506    1  -9.308  22.894   0.000
  507    1 -12.798  24.103   0.000
  508    1 -11.402  24.103   0.000
  509    1 -10.704  25.312   0.000
  510    1  -9.308  25.312   0.000
  511    1 -12.798  26.521   0.000
  512    1 -11.402  26.521   0.000
  513    1 -10.704  27.730   0.000
  514    1  -9.308  27.730   0.000
  515    1  -8.610  -0.076   0.000
  516    1  -7.214  -0.076   0.000
  517    1  -6.516   1.133   0.000
  518    1  -5.120   1.133   0.000
  519    1  -8.610   2.342   0.000
  520    1  -7.214   2.342   0.000
  521    1  -6.516   3.551   0.000
  522    1  -5.120   3.551   0.000
  523    1  -8.610   4.760   0.000
  524    1  -7.214   4.760   0.000
  525    1  -6.516   5.969   0.000
  526    1  -5.120   5.969   0.000
  527    1  -8.610   7.178   0.000
  528    1  -7.214   7.178   0.000
  529    1  -6.516   8.387   0.000
  530    1  -5.120   8.387   0.000
  531    1  -8.610   9.596   0.000
  532    1  -7.214   9.596   0.000
  533    1  -6.516  10.805   0.000
  534    1  -5.120  10.805   0.000
  535    1  -8.610  12.013   0.000
  536    1  -7.214  12.013   0.000
  537    1  -6.516  13.222   0.000
  538    1  -5.120  13.222   0.000
