# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  11300    2.91e+00  2.11e+00    7.91e-02  7.88e-02    1.22e-01  8.89e-02    5.6e-04
  11400    3.01e+00  3.93e+00    2.01e-03  1.87e-03    1.27e-01  1.66e-01    5.6e-04
  11500    3.27e+00  2.86e+00    1.43e-01  1.43e-01    1.38e-01  1.20e-01    5.6e-04
  11600    2.83e+00  3.70e+00    1.23e-01  1.23e-01    1.19e-01  1.56e-01    5.6e-04
  11700    3.24e+00  3.27e+00    4.15e-02  4.19e-02    1.37e-01  1.38e-01    5.6e-04
  11800    2.84e+00  3.92e+00    1.03e-01  1.02e-01    1.19e-01  1.65e-01    5.6e-04
  11900    3.10e+00  2.53e+00    2.29e-01  2.29e-01    1.30e-01  1.06e-01    5.6e-04
  12000    2.99e+00  2.37e+00    5.59e-02  5.62e-02    1.26e-01  9.97e-02    5.6e-04
  12100    2.89e+00  2.83e+00    4.76e-02  4.77e-02    1.22e-01  1.19e-01    5.6e-04
  12200    2.92e+00  2.79e+00    8.77e-02  8.74e-02    1.23e-01  1.17e-01    5.6e-04
  12300    3.06e+00  3.00e+00    2.65e-02  2.65e-02    1.29e-01  1.26e-01    5.6e-04
  12400    3.07e+00  2.36e+00    1.86e-01  1.86e-01    1.29e-01  9.87e-02    5.6e-04
  12500    2.73e+00  2.95e+00    6.71e-02  6.67e-02    1.15e-01  1.24e-01    5.6e-04
  12600    3.09e+00  3.07e+00    6.46e-02  6.43e-02    1.30e-01  1.29e-01    5.6e-04
  12700    2.85e+00  3.61e+00    6.65e-02  6.63e-02    1.20e-01  1.52e-01    5.6e-04
  12800    3.05e+00  2.55e+00    7.95e-03  7.84e-03    1.29e-01  1.08e-01    5.6e-04
  12900    2.87e+00  2.45e+00    6.82e-03  6.67e-03    1.21e-01  1.03e-01    5.6e-04
  13000    3.17e+00  2.87e+00    1.53e-02  1.54e-02    1.34e-01  1.21e-01    5.6e-04
  13100    3.03e+00  3.19e+00    2.40e-02  2.40e-02    1.28e-01  1.35e-01    5.6e-04
  13200    2.86e+00  3.11e+00    9.43e-02  9.38e-02    1.21e-01  1.31e-01    5.6e-04
  13300    3.11e+00  2.75e+00    1.14e-01  1.14e-01    1.31e-01  1.16e-01    5.6e-04
  13400    2.77e+00  2.72e+00    8.79e-02  8.76e-02    1.17e-01  1.14e-01    5.6e-04
  13500    3.09e+00  2.71e+00    7.86e-02  7.85e-02    1.30e-01  1.14e-01    5.6e-04
  13600    2.86e+00  4.21e+00    5.65e-02  5.63e-02    1.20e-01  1.77e-01    5.6e-04
  13700    3.14e+00  2.99e+00    2.88e-02  2.88e-02    1.32e-01  1.26e-01    5.6e-04
  13800    2.81e+00  3.38e+00    2.62e-02  2.64e-02    1.19e-01  1.42e-01    5.6e-04
  13900    2.98e+00  2.71e+00    4.10e-02  4.05e-02    1.26e-01  1.14e-01    5.6e-04
  14000    2.95e+00  1.86e+00    9.52e-02  9.51e-02    1.24e-01  7.80e-02    5.6e-04
  14100    2.82e+00  2.97e+00    8.42e-02  8.40e-02    1.19e-01  1.25e-01    5.6e-04
  14200    3.11e+00  2.81e+00    8.67e-02  8.64e-02    1.31e-01  1.18e-01    5.6e-04
  14300    2.82e+00  2.63e+00    5.73e-02  5.76e-02    1.19e-01  1.11e-01    5.6e-04
  14400    3.04e+00  2.50e+00    2.96e-02  2.99e-02    1.28e-01  1.05e-01    5.6e-04
  14500    2.84e+00  3.26e+00    2.71e-02  2.68e-02    1.20e-01  1.38e-01    5.6e-04
  14600    3.14e+00  3.14e+00    1.23e-01  1.23e-01    1.32e-01  1.32e-01    5.6e-04
  14700    2.91e+00  2.55e+00    3.07e-02  3.05e-02    1.23e-01  1.08e-01    5.6e-04
  14800    2.82e+00  3.14e+00    1.99e-02  1.97e-02    1.19e-01  1.32e-01    5.6e-04
  14900    3.12e+00  2.10e+00    6.50e-02  6.48e-02    1.31e-01  8.83e-02    5.6e-04
  15000    2.50e+00  2.69e+00    1.00e-01  9.93e-02    1.21e-01  1.31e-01    4.2e-04
  15100    2.59e+00  1.99e+00    2.44e-02  2.43e-02    1.26e-01  9.68e-02    4.2e-04
  15200    2.52e+00  2.52e+00    4.00e-02  4.02e-02    1.23e-01  1.23e-01    4.2e-04
  15300    2.57e+00  2.52e+00    5.19e-02  5.23e-02    1.25e-01  1.23e-01    4.2e-04
  15400    2.50e+00  3.04e+00    7.62e-03  7.76e-03    1.22e-01  1.48e-01    4.2e-04
  15500    2.59e+00  1.70e+00    2.55e-03  2.37e-03    1.26e-01  8.28e-02    4.2e-04
  15600    2.48e+00  1.97e+00    3.74e-02  3.69e-02    1.21e-01  9.58e-02    4.2e-04
  15700    2.66e+00  2.53e+00    1.46e-02  1.43e-02    1.29e-01  1.23e-01    4.2e-04
  15800    2.56e+00  2.81e+00    3.31e-02  3.29e-02    1.24e-01  1.36e-01    4.2e-04
  15900    2.62e+00  3.09e+00    3.09e-02  3.11e-02    1.27e-01  1.51e-01    4.2e-04
  16000    2.58e+00  2.01e+00    8.40e-03  8.20e-03    1.26e-01  9.77e-02    4.2e-04
  16100    2.57e+00  2.94e+00    4.39e-02  4.45e-02    1.25e-01  1.43e-01    4.2e-04
  16200    2.78e+00  3.03e+00    4.77e-03  4.65e-03    1.35e-01  1.47e-01    4.2e-04
  16300    2.51e+00  3.12e+00    3.44e-02  3.42e-02    1.22e-01  1.52e-01    4.2e-04
  16400    2.64e+00  2.40e+00    4.57e-02  4.55e-02    1.29e-01  1.17e-01    4.2e-04
  16500    2.49e+00  2.54e+00    1.65e-02  1.65e-02    1.21e-01  1.23e-01    4.2e-04
  16600    2.68e+00  2.12e+00    4.79e-02  4.72e-02    1.30e-01  1.03e-01    4.2e-04
  16700    2.51e+00  3.01e+00    1.15e-02  1.17e-02    1.22e-01  1.46e-01    4.2e-04
  16800    2.67e+00  3.14e+00    3.52e-02  3.55e-02    1.30e-01  1.53e-01    4.2e-04
  16900    2.62e+00  1.99e+00    2.70e-02  2.66e-02    1.27e-01  9.69e-02    4.2e-04
  17000    2.47e+00  2.49e+00    8.15e-02  8.17e-02    1.20e-01  1.21e-01    4.2e-04
  17100    2.61e+00  2.45e+00    1.31e-01  1.31e-01    1.27e-01  1.19e-01    4.2e-04
  17200    2.44e+00  3.28e+00    7.73e-02  7.69e-02    1.18e-01  1.59e-01    4.2e-04
  17300    2.68e+00  2.47e+00    6.66e-02  6.65e-02    1.30e-01  1.20e-01    4.2e-04
  17400    2.59e+00  2.18e+00    2.15e-02  2.15e-02    1.26e-01  1.06e-01    4.2e-04
  17500    2.58e+00  2.27e+00    5.55e-02  5.53e-02    1.25e-01  1.10e-01    4.2e-04
  17600    2.52e+00  2.99e+00    3.78e-03  3.81e-03    1.23e-01  1.45e-01    4.2e-04
  17700    2.50e+00  2.24e+00    1.51e-02  1.49e-02    1.22e-01  1.09e-01    4.2e-04
  17800    2.65e+00  2.43e+00    8.80e-02  8.75e-02    1.29e-01  1.18e-01    4.2e-04
  17900    2.53e+00  3.05e+00    4.97e-02  5.01e-02    1.23e-01  1.48e-01    4.2e-04
  18000    2.69e+00  2.76e+00    4.41e-02  4.39e-02    1.31e-01  1.34e-01    4.2e-04
  18100    2.45e+00  3.68e+00    1.67e-02  1.64e-02    1.19e-01  1.79e-01    4.2e-04
  18200    2.64e+00  2.06e+00    5.00e-02  5.00e-02    1.28e-01  1.00e-01    4.2e-04
  18300    2.46e+00  2.14e+00    3.02e-02  2.98e-02    1.19e-01  1.04e-01    4.2e-04
